publisheddate,keyword,engagement_view,engagement_comment,engagement_share,engagement_like,engagement_love,engagement_sad,engagement_wow,engagement_angry
2025-04-30 12:02:05,677b7d38054b92e7d2682612,1008,9,2,15,1,0,0,0
2025-04-30 16:00:01,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",0,0,0,0,0,0,0,0
2025-04-30 20:34:55,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",0,0,0,1,0,0,0,0
2025-04-30 20:00:03,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",39,0,0,0,0,0,0,0
2025-04-30 10:57:59,677b7d38054b92e7d2682612,0,2,35,15,0,0,0,0
2025-04-30 14:00:02,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",0,0,0,0,0,0,0,0
2025-04-30 17:09:00,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f",0,0,0,1,0,0,0,0
2025-04-30 15:44:09,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f",0,1,0,0,0,0,0,0
2025-04-30 12:31:26,"6792168e63b8fc3a5239de7d, 67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c",0,0,1,41,0,0,1,0
2025-04-29 13:10:23,677b7d38054b92e7d2682612,0,81,64,290,2,0,13,0
2025-04-30 21:38:31,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719e8806dc858aa8fb0b9aa",25850,46,7,250,19,0,1,3
2025-04-30 10:34:05,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f, 67093a4c60d187c89f62c9ee_67093b3160d187c89f62cf1c, 6712337860d187c89f968c13, 6712337860d187c89f968c13_671236d660d187c89f96a21e",0,0,0,5,0,0,0,0
2025-04-30 21:09:04,677b7d38054b92e7d2682612,0,1,3,72,5,0,0,0
2025-04-30 21:01:59,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f",0,7,1,122,0,1,10,0
2025-04-30 22:48:20,677b7d38054b92e7d2682612,0,86,70,3951,427,1,2,0
2025-04-30 19:51:50,677b7d38054b92e7d2682612,0,1,3,34,1,0,0,0
2025-04-30 20:27:50,677b7d38054b92e7d2682612,0,0,0,0,0,0,0,0
2025-04-30 23:51:39,"6710d4ef60d187c89f8e9c0d, 6710d4ef60d187c89f8e9c0d_6710d97760d187c89f8eb838",0,261,34,2338,363,2,0,0
2025-04-30 22:12:35,677b7d38054b92e7d2682612,0,16,34,878,164,0,3,0
2025-04-30 12:17:41,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719e8576dc858aa8fb0b8c4",0,0,0,3,0,0,0,0
2025-04-30 11:01:51,"6719e79d6dc858aa8fb0b4cb, 6719e79d6dc858aa8fb0b4cb_6719ea326dc858aa8fb0c4e4",0,0,4,9,0,0,0,0
2025-04-30 16:46:19,677b7d38054b92e7d2682612,0,0,1,1,1,0,0,0
2025-04-30 18:58:55,677b7d38054b92e7d2682612,0,3,1,110,0,0,1,0
2025-04-30 16:30:03,"67093a4c60d187c89f62c9ee, 67093a4c60d187c89f62c9ee_67093b0a60d187c89f62cd8f",0,0,0,5,1,0,0,0
2025-04-30 12:52:31,677b7d38054b92e7d2682612,0,0,11,46,0,0,0,0
2025-04-30 18:45:03,"6710d4ef60d187c89f8e9c0d, 6710d4ef60d187c89f8e9c0d_6710d97760d187c89f8eb838",0,0,0,19,0,0,0,0
2025-04-30 14:29:24,671b657b6dc858aa8fb90ccd,0,1,7,44,1,0,0,0
2025-04-30 23:30:48,677b7d38054b92e7d2682612,1903,1,1,5,0,0,0,0
2025-04-30 22:41:23,671b657b6dc858aa8fb90ccd,0,0,0,10,0,0,0,0
2025-04-30 20:00:28,"67a5b2a163b8fc3a5270bb5b, 67ef9ae8127c4bef563a0b6c",0,1,0,1,0,0,0,0
2025-04-30 22:42:20,677b7d38054b92e7d2682612,0,0,0,2,0,0,0,0
2025-04-30 11:46:17,671b657b6dc858aa8fb90ccd,0,8,1,125,28,0,0,0
